Any Numero Terminació
1812	03604	4
1813	08553	3
1814	23892	2
1815	33466	6
1816	34503	3
1817	32026	6
1818	08705	5
1819	15389	9
1820	02457	7
1821	08364	4
1822	09311	1
1823	01879	9
1824	02124	4
1825	09275	5
1826	14544	4
1827	06835	5
1828	00523	3
1829	02127	7
1830	02652	2
1831	01490	0
1832	08318	8
1833	07589	9
1834	09703	3
1835	07175	5
1836	07102	2
1837	10998	8
1838	06094	4
1839	01833	3
1840	01660	0
1841	06585	5
1842	05228	8
1843	09975	5
1844	07312	2
1845	13046	6
1846	04457	7
1847	13656	6
1848	01474	4
1849	12724	4
1850	12223	3
1851	12105	5
1852	11528	8
1853	16673	3
1854	14938	8
1855	15406	6
1856	13094	4
1857	02147	7
1858	12085	5
1859	18400	0
1860	20563	3
1861	23033	3
1862	04036	6
1863	03224	4
1864	18968	8
1865	01603	3
1866	00615	5
1867	14985	5
1868	04385	5
1869	18875	5
1870	09914	4
1871	09457	7
1872	16374	4
1873	10014	4
1874	09452	2
1875	07932	2
1876	21690	0
1877	12797	7
1878	06157	7
1879	25018	8
1880	35999	9
1881	17057	7
1882	06679	9
1883	38608	8
1884	14292	2
1885	45488	8
1886	06695	5
1887	24566	6
1888	04211	1
1889	45400	0
1890	15020	0
1891	33558	8
1892	40297	7
1893	31892	2
1894	08653	3
1895	25444	4
1896	08669	9
1897	13515	5
1898	52761	1
1899	12515	5
1900	26285	5
1901	30565	5
1902	28038	8
1903	20297	7
1904	15162	2
1905	32865	5
1906	34746	6
1907	02048	8
1908	35819	9
1909	24056	6
1910	22101	1
1911	03884	4
1912	10644	4
1913	18073	3
1914	50047	7
1915	48685	5
1916	19158	8
1917	02091	1
1918	05605	5
1919	53452	2
1920	09053	3
1921	28876	6
1922	46460	0
1923	18398	8
1924	15770	0
1925	11519	9
1926	17229	9
1927	10123	3
1928	06692	2
1929	53453	3
1930	24630	0
1931	24717	7
1932	29757	7
1933	07139	9
1934	02686	6
1935	25888	8
1936	05287	7
1937	01165	5
1938	36758	8
1939	13093	3
1940	43944	4
1941	58856	6
1942	09029	9
1943	34545	5
1944	33037	7
1945	42587	7
1946	45590	0
1947	35920	0
1948	26664	4
1949	55666	6
1950	45749	9
1951	02704	4
1952	25766	6
1953	03270	0
1954	53584	4
1955	50580	0
1956	15640	0
1957	53414	4
1958	33704	4
1959	36600	0
1960	02365	5
1961	24964	4
1962	00675	5
1963	19936	6
1964	20426	6
1965	49873	3
1966	48677	7
1967	43758	8
1968	57150	0
1969	59536	6
1970	19381	1
1971	23238	8
1972	42435	5
1973	34739	9
1974	12176	6
1975	47107	7
1976	49764	4
1977	34571	1
1978	15640	0
1979	40286	6
1980	60076	6
1981	23786	6
1982	21515	5
1983	53288	8
1984	50076	6
1985	63369	9
1986	03772	2
1987	20064	4
1988	21583	3
1989	61714	4
1990	32522	2
1991	47996	6
1992	31466	6
1993	47884	4
1994	49595	5
1995	45495	5
1996	56169	9
1997	43728	8
1998	21856	6
1999	65379	9
2000	49740	0
2001	18795	5
2002	08103	3
2003	42473	3
2004	54600	0
2005	20085	5
2006	20297	7
2007	06381	1
2008	32365	5
2009	78294	4
2010	79250	0
2011	58268	8
2012	76058	8
2013	62246	6
2014	13437	7
2015	79140	0
2016	66513	3
2017	71198	8
2018	03347	7
2019	26590	0
2020	72897	7
2021	86148	8
2022	05490	0
2023	88008	8
2024	72480	0
2025	79432	2
